ERPset                                  bin    	channel	value  
s2651_ERP (CLEAN; REB)                   23      	59      	 0.517
s2651_ERP (CLEAN; REB)                   23      	60      	 0.419
s2651_ERP (CLEAN; REB)                   23      	62      	 0.400
s2651_ERP (CLEAN; REB)                   23      	63      	 0.737
s2651_ERP (CLEAN; REB)                   24      	58      	 1.385
s2651_ERP (CLEAN; REB)                   24      	59      	 1.193
s2651_ERP (CLEAN; REB)                   24      	60      	 0.643
s2651_ERP (CLEAN; REB)                   24      	62      	 0.789
s2651_ERP (CLEAN; REB)                   24      	63      	 1.258
s2652_ERP (CLEAN; REB)                   20      	58      	 2.527
s2652_ERP (CLEAN; REB)                   20      	59      	 1.974
s2652_ERP (CLEAN; REB)                   20      	60      	 1.999
s2652_ERP (CLEAN; REB)                   20      	62      	 2.417
s2652_ERP (CLEAN; REB)                   20      	63      	 2.826
s2652_ERP (CLEAN; REB)                   21      	58      	 2.479
s2652_ERP (CLEAN; REB)                   21      	59      	 1.352
s2652_ERP (CLEAN; REB)                   21      	60      	 1.386
s2652_ERP (CLEAN; REB)                   21      	62      	 1.338
s2652_ERP (CLEAN; REB)                   21      	63      	 2.427
s2652_ERP (CLEAN; REB)                   23      	58      	 1.278
s2652_ERP (CLEAN; REB)                   23      	59      	 0.701
s2652_ERP (CLEAN; REB)                   23      	60      	 0.438
s2652_ERP (CLEAN; REB)                   23      	62      	 0.746
s2652_ERP (CLEAN; REB)                   23      	63      	 1.313
s2652_ERP (CLEAN; REB)                   24      	58      	 1.204
s2652_ERP (CLEAN; REB)                   24      	59      	-0.112
s2652_ERP (CLEAN; REB)                   24      	60      	-0.082
s2652_ERP (CLEAN; REB)                   24      	62      	 0.307
s2652_ERP (CLEAN; REB)                   24      	63      	 1.088
